AUTHOR,YEAR,TOPIC,METHODOLOGY,DATASET,APA FORMAT,Researched by:
"Doh, S., Lee, M., Jeong, D., & Nam, J.",2024,Text-to-Music Retrieval,"- TTMR++: Uses a fine-tuned LLM to enrich sparse music tags into dense, descriptive captions.

- Joint Embedding: Trains a retrieval model on these enriched captions to handle complex natural language queries more effectively.",- Music Tag Datasets: Existing tag datasets augmented with synthetic descriptions generated by the LLM.,"Doh, S., Lee, M., Jeong, D., & Nam, J. (2024). Enriching music descriptions with a finetuned-LLM and metadata for text-to-music retrieval. In 2024 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP) (pp. 826-830). IEEE.",Kean
"Morsi, A., Zhang, H., Maezawa, A., Dixon, S., & Serra, X.",2024,Performance Analysis / Education,"- Mistake Taxonomy: Developed a hierarchical classification of common piano student errors.

- Simulation Pipeline: Created a system to inject realistic mistakes into MIDI performances to train assessment models.",- Piano Performance Data: Real-world student recordings used to model error distributions and create synthetic training data.,"Morsi, A., Zhang, H., Maezawa, A., Dixon, S., & Serra, X. (2024). Simulating piano performance mistakes for music learning contexts. In Proceedings of the 18th Sound and Music Computing Conference (SMC).",Kean
"Novack, Z., McAuley, J., Berg-Kirkpatrick, T., & Bryan, N. J.",2024,Generative Music / Optimization,"- T-Optimization: Optimized the reverse diffusion trajectory to reduce sampling steps without quality loss.

- Distillation: Distilled a large pre-trained diffusion model for real-time inference capabilities.",- MusicCaps: Used for evaluation of text-adherence and audio quality (FAD/CLAP scores).,"Novack, Z., McAuley, J., Berg-Kirkpatrick, T., & Bryan, N. J. (2024). DITTO-2: Distilled diffusion inference-time T-optimization for music generation. In Proceedings of the 25th International Society for Music Information Retrieval Conference (ISMIR) (pp. 874-881).",Kean
"Sarkar, S., Moomijan, V., Woods, B., Benetos, E., & Sandler, M.",2025,Source Separation Evaluation,"- Segment-wise Evaluation: Critiques standard averaged metrics (SDR) which hide local failures.

- New Metrics: Proposes perceptual metrics that better correlate with human judgment of separation quality.",- MusDB18: Used as the test bed to demonstrate the flaws of traditional evaluation metrics.,"Sarkar, S., Moomijan, V., Woods, B., Benetos, E., & Sandler, M. (2025). Looking beyond averaged metrics in music source separation. In Proceedings of the 26th International Society for Music Information Retrieval Conference (ISMIR) (pp. 839-846).",Kean
"Chandna, P., Cuesta, H., Petermann, D., & Gómez, E.",2022,"A Deep-Learning Based Framework for Source Separation, Analysis, and Synthesis of Choral Ensembles","The researchers proposed a comprehensive deep learning framework for modeling choral ensembles that integrates source separation, pitch analysis, and singing synthesis. Multiple end-to-end neural architectures (U-Net, Wave-U-Net, Open-Unmix, and Conv-TasNet) are adapted and evaluated for SATB voice separation in unison and multi-singer choir recordings. The framework further introduces a method for estimating perceived unison pitch from multiple singers and supports analysis–resynthesis pipelines, enabling tasks such as unison-to-solo conversion, solo-to-unison synthesis, and choral remixing. Both objective metrics and listening tests are used to assess system performance and perceptual quality.","ChoralSingingDataset (SATB choir recordings with multiple singers per part)

Cantoría dataset (professional choir recordings)

Bach Chorales (synthetic and score-informed choral data for controlled experiments)

Includes real and synthetic choral audio covering unison and polyphonic SATB textures","Chandna, P., Cuesta, H., Petermann, D., & Gómez, E. (2022). A deep-learning based framework for source separation, analysis, and synthesis of choral ensembles. Frontiers in Signal Processing, 2, 808594. https://doi.org/10.3389/frsip.2022.808594",Marian
"Yuan, W., Wang, S., Wang, J., Unoki, M., & Wang, W.",2023,Unsupervised Deep Unfolded Representation Learning for Singing Voice Separation.,"The researchers proposed an unsupervised singing voice separation framework based on deep unfolded representation learning, where each network layer corresponds to an iteration of an optimization algorithm. The model, referred to as DURL, explicitly incorporates signal priors such as non-negativity, sparsity, and reconstruction constraints into a learnable encoder–decoder architecture. An extended variant integrates optimal transport (OT) to better align latent representations of vocal and accompaniment sources. By embedding optimization principles into the network design, the approach achieves interpretable latent representations while maintaining competitive separation performance without requiring labeled source data. The system is evaluated under both unsupervised and supervised settings and compared against conventional deep encoders and attention-based models.","MUSDB18: Standard music source separation benchmark
- 150 professionally mixed tracks
- Includes isolated vocal and accompaniment stems

Experiments conducted on vocal–accompaniment mixtures derived from the dataset

Evaluation performed using SI-SDR and related source separation metrics","Yuan, W., Wang, S., Wang, J., Unoki, M., & Wang, W. (2023). Unsupervised deep unfolded representation learning for singing voice separation. IEEE/ACM Transactions on Audio, Speech, and Language Processing, 31, 2503–2517. https://doi.org/10.1109/TASLP.2023.3290791",Marian
"Bhattarai, B., Pandeya, Y. R., Jie, Y., Lamichhane, A. K., & Lee, J.",2023,High-Resolution Representation Learning and Recurrent Neural Network for Singing Voice Separation,"The researchers proposed a deep learning–based singing voice separation system that preserves fine-grained spectral details by maintaining high-resolution feature representations throughout the network. The model adapts a High-Resolution Network (HRNet) architecture, originally developed for computer vision, to time–frequency audio representations and integrates Long Short-Term Memory (LSTM) layers to capture temporal dependencies in singing performances. By avoiding aggressive downsampling, the system retains harmonic structure critical for vocal separation. The network predicts soft time–frequency masks that are applied to mixture spectrograms to separate vocal and accompaniment signals. Performance is evaluated against state-of-the-art separation models using standard MIR metrics.","MUSDB18: Standard benchmark for music source separation

iKala: Singing voice separation dataset with professional recordings

NISVS dataset (introduced in this study):
- 100 Korean Pansori singing recordings
- Includes culturally specific solo singing performances

All datasets evaluated under single-channel mixture conditions","Bhattarai, B., Pandeya, Y. R., Jie, Y., Lamichhane, A. K., & Lee, J. (2023). High-resolution representation learning and recurrent neural network for singing voice separation. Circuits, Systems, and Signal Processing, 42, 4800–4824. https://doi.org/10.1007/s00034-023-02377-9",Marian
"Park, J., Choi, K., Oh, S., Kim, L., & Park, J.",2023,Note-level singing melody transcription with transformers,"The researchers proposed an end-to-end note-level singing melody transcription system based on a sequence-to-sequence Transformer architecture. The encoder processes time–frequency audio features extracted from polyphonic music, while the decoder predicts symbolic note events representing pitch, onset, and offset information. To improve temporal continuity and transcription accuracy, the model introduces overlapping decoding between adjacent audio segments, pitch-shift augmentation to reduce pitch bias, and dataset noise filtering to handle annotation inconsistencies. The system directly outputs structured note sequences without relying on intermediate frame-level melody extraction, enabling more coherent transcription of expressive singing performances.","MIR-1K: Karaoke-style polyphonic singing recordings with vocal annotations

iKala: Professionally recorded singing excerpts with accompaniment

DALI (filtered subset): Noisy singing data used with cleansing procedures

Evaluation conducted using standard melody transcription and note-level metrics via mir_eval","Park, J., Choi, K., Oh, S., Kim, L., & Park, J. (2023). Note-level singing melody transcription with transformers. Intelligent Data Analysis, 27(5), 1231–1250. https://doi.org/10.3233/IDA-220053",Marian
"Lin, K. W. E., Balamurali, B. T., Koh, E., Lui, S., & Herremans, D.",2020,Singing voice separation using a deep convolutional neural network trained by ideal binary mask and cross entropy,"The researchers proposed a deep convolutional neural network (CNN) for singing voice separation that formulates the task as a pixel-wise classification problem on time–frequency representations. The model operates on short spectrogram excerpts and directly predicts soft vocal masks by learning Ideal Binary Mask (IBM) targets using a cross-entropy loss function. To improve convergence and generalization, the CNN is pretrained as an autoencoder on isolated singing voice spectrograms before supervised training on mixture signals. This design eliminates the need for Wiener filter post-processing and enables end-to-end estimation of vocal and accompaniment signals from polyphonic music.","iKala: Public karaoke-style dataset with isolated vocal and accompaniment tracks

DSD100: Professionally produced multitrack recordings used for source separation evaluation

Evaluation performed using standard BSS Eval metrics (SDR, SIR, SAR, NSDR) under MIREX- and SiSEC-style protocols","Lin, K. W. E., Balamurali, B. T., Koh, E., Lui, S., & Herremans, D. (2020). Singing voice separation using a deep convolutional neural network trained by ideal binary mask and cross entropy. Neural Computing and Applications, 32, 1037–1050. https://doi.org/10.1007/s00521-018-3933-z",Marian
"Turchet, L., Pauwels, J., Fischione, C., & Fazekas, G.",2020,Cloud-smart musical instrument interactions using a smart guitar for content-based music retrieval,"Design and development of a smart musical instrument (smart guitar prototype) combined with a user-centered study. The study involved interviews, system design, and experimental evaluation of three interaction methods (keyword-based, cloud computing, edge computing) across different user expertise levels (beginner, intermediate, expert).","- Interviews with 30 guitar players to derive search criteria
- User evaluation involving beginner, intermediate, and expert guitar players
- Large Creative Commons online music databases used for song retrieval","Turchet, L., Pauwels, J., Fischione, C., & Fazekas, G. (2020). Cloud-smart musical instrument interactions. ACM Transactions on Internet of Things, 1(3), 1–29. https://doi.org/10.1145/3377881 ",Yesha
"Turchet, L., Fischione, C., & Barthet, M.",2017,Internet of Musical Things (IoMUT): extending Internet of Things concepts to smart musical instruments and musical interaction ecosystems,"Conceptual and framework-based research. The paper proposes a theoretical model and system architecture for IoMUT, supported by analysis of technological implications, communication models, and interaction paradigms. No experimental user study was conducted.","None (Conceptual paper). The study does not use empirical datasets; instead, it synthesizes existing technologies, architectures, and use cases related to smart musical instruments and networked music systems.","Turchet, L., Fischione, C., & Barthet, M. (2017). Towards the Internet of Musical Things.",Yesha
"Acquilino, A., & Scavone, G.",2022,"Current state and future directions of technologies for music instrument pedagogy, focusing on software and hardware tools that support instrumental practice, feedback, and skill development","Narrative literature review / survey study. The paper systematically reviews existing music education technologies (software and hardware), classifies them by functionality and hardware components, analyzes their pedagogical strengths and limitations, and proposes future research and development directions. No experimental intervention was conducted.","Secondary data only:
– Survey of existing commercial and research-based music pedagogy software and systems (e.g., SmartMusic, SkyNote, Yousician, Tonestro, TonalEnergy, EarMaster, etc.)
– No participant-based empirical dataset; data derived from published literature, software documentation, and system features","Acquilino, A., & Scavone, G. (2022). Current State and Future Directions of Technologies for Music Instrument Pedagogy. Frontiers in Psychology, 13, 835609. https://doi.org/10.3389/fpsyg.2022.835609",Yesha
"Bagga, S., Maurer, B., Miller, T., Quinlan, L., Silvestri, L., Wells, D., et al.",2019,Robotic musical instrument tutoring: use of an interactive social robot (instruMentor) for teaching recorder playing through real-time demonstration and multimodal interaction,"Design-based research with pilot experimental evaluation. The study presents the design and implementation of a robotic tutor with robotic hands and a multimodal interface, followed by a pilot user study assessing learning effectiveness and user perception.",Primary empirical dataset collected from a pilot study with human participants (students learning the recorder). Data includes performance outcomes and user feedback on usability and effectiveness. The dataset size is small and exploratory in nature.,"Bagga, S., Maurer, B., Miller, T., Quinlan, L., Silvestri, L., Wells, D., et al. (2019). Instrumentor: An interactive robot for musical instrument tutoring. In Proceedings of the 20th Annual Conference on Towards Autonomous Robotic Systems (pp. 303–315). Springer International Publishing. https://doi.org/10.1007/978-3-030-23807-0_25",Yesha
"Fabiani, M., & Friberg, A.",2011,"Perception of musical instrument dynamics: influence of pitch, loudness, and timbre on listeners’ perception of dynamics in isolated instrumental tones","Controlled psychoacoustic listening experiment using a full factorial within-subjects design. Participants rated perceived dynamics of isolated tones across systematically varied pitch, loudness, and timbre conditions. Data were analyzed using repeated-measures ANOVA with effect size estimation (generalized eta-squared).","Primary experimental dataset consisting of listener ratings from 21 musically trained participants. Stimuli included recorded isolated tones from five instruments (clarinet, flute, trumpet, violin, piano) with controlled variations in pitch (3–4 levels), loudness (3 levels), and timbre (3 dynamics-related timbres).","Fabiani, M., & Friberg, A. (2011). Influence of pitch, loudness, and timbre on the perception of instrument dynamics. The Journal of the Acoustical Society of America, 130(4), EL193–EL199. https://doi.org/10.1121/1.3633687",Yesha
"Giraldo, S., Waddell, G., Nou, I., Ortega, A., Mayor, O., Perez, A., Williamon, A., & Ramirez, R.",2019,Automatic assessment of tone (timbre) quality in violin performance using machine learning for technology-enhanced music learning and real-time pedagogical feedback,"Mixed-method empirical study combining:
1) Perceptual listening experiments using expert-defined semantic tone labels
2) Audio signal processing and feature extraction
3) Machine learning modeling (SVM, ANN, Linear Regression) with feature selection
4) System implementation and evaluation of a real-time feedback tool integrated into a violin learning system (SkyNote).","Multiple primary datasets:
– Audio recordings of violin tones performed by a professional violinist (320 notes across 20 tonal dimensions)
– Good Sounds Dataset (Romani Picas et al., 2015)
– Perceptual ratings from 20 musically trained participants
– Additional recordings from 4 professional violinists for real-time and cross-performer evaluation","Giraldo, S., Waddell, G., Nou, I., Ortega, A., Mayor, O., Perez, A., Williamon, A., & Ramirez, R. (2019). Automatic assessment of tone quality in violin music performance. Frontiers in Psychology, 10, 334. https://doi.org/10.3389/fpsyg.2019.00334",Yesha
"Waddell, G., Perkins, R., & Williamon, A.",2019,The Evaluation Simulator: A New Approach to Training Music Performance Assessment,Development and piloting of a prototype immersive simulation tool for training evaluative skills; qualitative and observational evaluation of user interactions,Prototype used prerecorded performance videos of musical excerpts; piloted with music students and educators at a public music festival; exact sample size not specified,"Waddell, G., Perkins, R., & Williamon, A. (2019). The Evaluation Simulator: A new approach to training music Performance Assessment. Frontiers in Psychology, 10, 557. https://doi.org/10.3389/fpsyg.2019.00557",Yesha
"Keon Ju Maverick Lee, Jeff Ens, Sara Adkins, Pedro Sarmento, Mathieu Barthet, & Philippe Pasquier",2025,The GigaMIDI Dataset with Features for Expressive Music Performance Detection,Creation and curation of a large-scale symbolic music dataset (MIDI) with heuristics designed to distinguish expressive vs. non‑expressive music performance; development of expressivity detection heuristics and evaluation of their effectiveness.,"The GigaMIDI dataset: over 1.4 million unique MIDI files, ~1.8 billion MIDI note events, and >5.3 million instrument tracks; expressively‑performed subset of ~1,655,649 tracks classified using novel heuristics.","Lee, K. J. M., Ens, J., Adkins, S., Sarmento, P., Barthet, M., & Pasquier, P. (2025). The GigaMIDI dataset with features for expressive music performance detection. arXiv. https://arxiv.org/abs/2502.17726",Yesha
"García, S., F. Serrà, J., & Herrera, P.",2022,Symbolic music processing and feature extraction for music information retrieval,"Development of a Python library (Partitura) to parse, analyze, and process symbolic music formats; extraction of sequential musical features (e.g., note arrays, piano rolls), pitch spelling, key detection, and voice separation","Supports multiple symbolic music formats including **MEI, MusicXML, Humdrum kern, and MIDI files; no single fixed dataset—users can load their own symbolic music data","Cancino-Chacón, C., Peter, S. D., Karystinaios, E., Foscarin, F., Grachten, M., & Widmer, G. (2022, June 2). Partitura: a Python package for symbolic music processing. arXiv.org. https://arxiv.org/abs/2206.01071",Yesha
"Sara Adkins, Pedro Sarmento, & Mathieu Barthet",2023,LooperGP — a loopable sequence model for live coding music performance using GuitarPro tablature,"Proposal of LooperGP, a Transformer‑XL based symbolic music generation model steered to produce loopable musical phrases.

Trained on a symbolic music dataset derived from GuitarPro tablature (musical notation rich in instrument information).

Evaluation includes a subjective listening test with human participants assessing originality, musical coherence, and loop smoothness in generated loops.","Dataset:

A dataset of 93,681 musical loops extracted from the DadaGP dataset of GuitarPro tablature.

Used for training and evaluating the generative model.","Adkins, S., Sarmento, P., & Barthet, M. (2023). LooperGP: A loopable sequence model for live coding performance using GuitarPro tablature. arXiv. https://doi.org/10.48550/arxiv.2303.01665",Yesha
"Kim, H., Miron, M., & Serra, X.",2022,Note‑Level MIDI Velocity Estimation for Piano Performance — estimating expressive loudness at the note level from audio using score‑informed neural networks,Applied deep neural networks (DNN) with FiLM conditioning to estimate MIDI velocity (a proxy for loudness/dynamics) from polyphonic piano audio. Modified score‑informed DNN architecture was trained and evaluated on aligned audio/MIDI data with error measured at note onsets.,MAESTRO dataset (2.8 GB mini subset for training) and SMD (Saarland Music Data) for testing; aligned audio and MIDI velocity ground truth used to measure note‑level velocity estimation.,"Kim, H., Miron, M., & Serra, X. (2022, December). Note level MIDI velocity estimation for piano performance. In Proceedings of the International Society for Music Information Retrieval Conference, Bengaluru, India.",Yesha
"Edwards, D., Dixon, S., Benetos, E., Maezawa, A., & Kusaka, Y.",2024,A data‑driven analysis of robust automatic piano transcription,"Empirical analysis of Automatic Piano Transcription (APT) systems focusing on training data effects and generalization. Evaluates models on out‑of‑distribution piano recordings, uses data augmentation, and ablation studies to understand robustness and performance.","• Original and re‑recorded MAESTRO audio (via Yamaha Disklavier)
• MAPS dataset for out‑of‑distribution evaluation","Edwards, D., Dixon, S., Benetos, E., Maezawa, A., & Kusaka, Y. (2024). A data‑driven analysis of robust automatic piano transcription. IEEE Signal Processing Letters. https://doi.org/10.1109/LSP.2024.3363646",Yesha
"Gómez‑Marín, D., Jordà, S., & Herrera, P.",2020,Drum rhythm spaces: From polyphonic similarity to generative maps,Computational analysis of polyphonic drum rhythms via distance metrics and visualization; development of generative maps for rhythm similarity and exploration,"Rhythmic datasets extracted from polyphonic music sources (including drum patterns), used to compute similarity spaces and generate topology mappings","Gómez‑Marín, D., Jordà, S., & Herrera, P. (2020). Drum rhythm spaces: From polyphonic similarity to generative maps. Journal of New Music Research, 49(5), 438–456. https://doi.org/10.1080/09298215.2020.1806887",Yesha
"Li, B., Liu, X., Dinesh, K., Duan, Z., & Sharma, G.",2018,Creating a multitrack classical music performance dataset for multimodal music analysis,"Dataset creation and analysis study; the authors designed and recorded a multimodal dataset comprising separately recorded instrument tracks synchronized into ensemble mixtures, described methodology for synchronized multimodal capture, and evaluated dataset usefulness for existing and novel MIR tasks (e.g., multipitch analysis, score‑informed source separation, visually informed tasks).","Multitrack classical music performance dataset (URMP): 44 classical pieces with separate instrument track audio, audio/video mixes, MIDI scores, and ground‑truth annotations (note‑ and frame‑level); supports multimodal research.","Li, B., Liu, X., Dinesh, K., Duan, Z., and Sharma, G.
(2018). Creating a multitrack classical music perfor-
mance dataset for multimodal music analysis: Chal-
lenges, insights, and applications. IEEE Transactions
on Multimedia, 21(2):522–535. https://doi.org/
10.48550/arXiv.1612.08727.",Yesha
"Barthet, M., Depalle, P., Kronland‑Martinet, R., & Ystad, S.",2010,Acoustical correlates of timbre and expressiveness in clarinet performance,"Empirical acoustic analysis of mechanical vs. expressive clarinet performances. Timbre, timing, dynamics, and pitch descriptors were extracted and analyzed using two‑way ANOVA to determine how expressive intention affects acoustic parameters.","Recorded performances of clarinet excerpts from Bach’s Suite No. II and Mozart’s Quintet for Clarinet and Strings, with detailed acoustical feature extraction from audio recordings.","Barthet, M., Depalle, P., Kronland‑Martinet, R., & Ystad, S. (2010). Acoustical correlates of timbre and expressiveness in clarinet performance. Music Perception, 28(2), 135–154. https://doi.org/10.1525/mp.2010.28.2.135",Yesha
"Brunner, G., Konrad, A., Wang, Y., & Wattenhofer, R.",2018,MIDI-VAE: Modeling dynamics and instrumentation of music with applications to style transfer,"Developed a Variational Autoencoder (VAE) for symbolic music modeling. The model captures note pitch, velocity, and instrumentation in polyphonic MIDI sequences, enabling style transfer between pieces.","Polyphonic MIDI datasets, including piano and multi-instrumental tracks, used for training and evaluation of style transfer and reconstruction tasks.","Brunner, G., Konrad, A., Wang, Y., & Wattenhofer, R. (2018). MIDI-VAE: Modeling dynamics and instrumentation of music with applications to style transfer. In Proceedings of the International Society for Music Information Retrieval Conference (ISMIR), Paris, France.",Yesha
"Sarmento, P., Kumar, A., Carr, C., Zukowski, Z., Barthet, M., & Yang, Y.-H.",2021,DadaGP: Tokenized GuitarPro songs for sequence models,"Created a dataset of guitar tablature sequences, tokenized for machine learning and sequence modeling, suitable for music generation models.",DadaGP dataset: GuitarPro songs converted into tokenized sequences for training sequence-based models.,"Sarmento, P., Kumar, A., Carr, C., Zukowski, Z., Barthet, M., & Yang, Y.-H. (2021). DadaGP: A dataset of tokenized GuitarPro songs for sequence models. In Proceedings of the International Society for Music Information Retrieval Conference (ISMIR), Online.",Yesha
"Sarmento, P., Kumar, A., Chen, Y.-H., Carr, C., Zukowski, Z., & Barthet, M.",2023,ShredGP: Guitarist style-conditioned tablature generation,"Developed a style-conditioned music generation model using transformer-based architectures, trained to generate guitar tablature in specific guitarist styles.",ShredGP dataset: Guitar tablatures labeled by guitarist style for style-conditioned generative tasks.,"Sarmento, P., Kumar, A., Chen, Y.-H., Carr, C., Zukowski, Z., & Barthet, M. (2023b). ShredGP: Guitarist style-conditioned tablature generation. In 16th International Symposium on Computer Music Multidisciplinary Research, Tokyo, Japan.",Yesha
"Crauwels, K.",2016,Music exploration and visualization,"Web-based interactive music map for exploring relationships between artists, genres, and styles","Online database of artists, genres, and musical relationships","Crauwels, K. (2016). Musicmap. https://musicmap.info/
 (Last accessed: January 13, 2026)",Yesha
"Yi-Xing Lin, Jen-Chun Lin, Wen-Li Wei, Jia-Ching Wang",2025,Music Classification (Singer/Genre),"Learnable Counterfactual Attention (LCA): Introduces a counterfactual branch to a deep network that learns to identify and suppress spurious features (like background noise), forcing the main branch to focus on discriminative musical regions.",Artist20; GTZAN; FMA,"Lin, Y.-X., Lin, J.-C., Wei, W.-L., & Wang, J.-C. (2025). Learnable Counterfactual Attention for Music Classification. IEEE Transactions on Audio, Speech, and Language Processing, 33, 570–585.",Kean
"Juan C. Martinez-Sevilla, Joan Cerveto-Serrano, Noelia Luna-Barahona, Greg Chapman, Craig Sapp, David Rizo, Jorge Calvo-Zaragoza",2025,Optical Music Recognition (OMR) Evaluation,"Sheet Music Benchmark (SMB): Introduction of a standardized evaluation dataset and a new metric (OMR-NED) that provides fine-grained error analysis for specific musical symbols, addressing the limitations of generic Symbol Error Rates.",Sheet Music Benchmark (SMB) (685 pages),"Martinez-Sevilla, J. C., Cerveto-Serrano, J., Luna-Barahona, N., Chapman, G., Sapp, C., Rizo, D., & Calvo-Zaragoza, J. (2025). Sheet Music Benchmark: Standardized Optical Music Recognition Evaluation. Proceedings of the 26th International Society for Music Information Retrieval Conference (ISMIR).",Kean
"Tsung-Ping Chen, Kazuyoshi Yoshii",2025,Joint Music Segmentation and Clustering,Deep Unfolding: A unified network where the clustering step (GMM) is unfolded into differentiable layers. This allows the feature extractor (Transformer) and the clustering mechanism to be trained simultaneously via self-attentive contrastive learning.,SALAMI (implied standard for MSA tasks),"Chen, T.-P., & Yoshii, K. (2025). Joint Music Segmentation and Clustering Based on Self-Attentive Contrastive Learning of Multifaceted Self-Similarity Representation. IEEE Transactions on Audio, Speech, and Language Processing, 33, 1267–1277.",Kean
"Omar Eldeeb, Martin Malandro",2025,Symbolic Music Structure Analysis,"Barwise Boundary Detection: A Convolutional Neural Network (CNN) approach for detecting musical section boundaries in symbolic data. It uses a novel ""synthesized overtone"" encoding scheme to represent MIDI instrumentations as 3-channel piano rolls.",Segmented Lakh MIDI Subset (SLMS),"Eldeeb, O., & Malandro, M. (2025). Barwise Section Boundary Detection in Symbolic Music Using Convolutional Neural Networks. Proceedings of the 26th International Society for Music Information Retrieval Conference (ISMIR).",Kean
"SeungHeon Doh, Jongpil Lee, Tae Hong Park, Juhan Nam",2025,Semantic Music Tagging and Retrieval,Musical Word Embedding (MWE): A representation learning framework trained on a hybrid corpus of general and music-specific text. It uses multi-prototype training to balance granularity between broad tags (genre) and specific entities (track/artist).,Million Song Dataset; MTG-Jamendo,"Doh, S., Lee, J., Park, T. H., & Nam, J. (2025). Musical Word Embedding for Music Tagging and Retrieval. IEEE Transactions on Audio, Speech, and Language Processing, 33, 2377–2387.",Kean
"Yun-Ning Hung, Igor Pereira, Filip Korzeniowski",2025,Resource-Efficient Music Source Separation,Moises-Light: A lightweight Band-Split U-Net architecture. It integrates Rotary Position Embeddings (RoPE) and optimized encoder-decoder blocks to achieve state-of-the-art separation quality with significantly fewer parameters than RoFormer.,MUSDB18-HQ; MoisesDB,"Hung, Y.-N., Pereira, I., & Korzeniowski, F. (2025). Moises-Light: Resource-Efficient Band-Split U-Net for Music Source Separation. 2025 IEEE Workshop on Applications of Signal Processing to Audio and Acoustics (WASPAA).",Kean
WOW WE GOT TO 100 PAPERS !!,,,,,,
